,Protein 1 ID,P1 name,Protein 2 ID,P2 name,Retained DDIs,Lost DDIs
24,ENSG00000187260,WDR86,ENSG00000132141,CCT6B,PF00400-PF00118,-
25,ENSG00000187260,WDR86,ENSG00000120438,TCP1,PF00400-PF00118,-
26,ENSG00000187260,WDR86,ENSG00000146731,CCT6A,PF00400-PF00118,-
27,ENSG00000187260,WDR86,ENSG00000166226,CCT2,PF00400-PF00118,-
28,ENSG00000187260,WDR86,ENSG00000163468,CCT3,PF00400-PF00118,-
29,ENSG00000187260,WDR86,ENSG00000074706,IPCEF1,PF00400-PF00169,-
30,ENSG00000187260,WDR86,ENSG00000136940,PDCL,PF00400-PF02114,-
31,ENSG00000187260,WDR86,ENSG00000150753,CCT5,PF00400-PF00118,-
32,ENSG00000187260,WDR86,ENSG00000135624,CCT7,PF00400-PF00118,-
33,ENSG00000187260,WDR86,ENSG00000113575,PPP2CA,PF00400-PF00149,-
34,ENSG00000187260,WDR86,ENSG00000115484,CCT4,PF00400-PF00118,-
35,ENSG00000132475,H3-3B,ENSG00000102054,RBBP7,PF00125-PF00400,-
36,ENSG00000132475,H3-3B,ENSG00000205683,DPF3,PF00125-PF00628,-
37,ENSG00000132475,H3-3B,ENSG00000188486,H2AX,PF00125-PF16211 ; PF00125-PF00125,-
38,ENSG00000132475,H3-3B,ENSG00000162521,RBBP4,PF00125-PF00400,-
39,ENSG00000132475,H3-3B,ENSG00000112130,RNF8,PF00125-PF00498,-
40,ENSG00000132475,H3-3B,ENSG00000159259,CHAF1B,PF00125-PF00400,-
41,ENSG00000132475,H3-3B,ENSG00000073111,MCM2,PF00125-PF12619,-
42,ENSG00000132475,H3-3B,ENSG00000085224,ATRX,-,PF00125-PF00271 ; PF00125-PF00176
43,ENSG00000169398,PTK2,ENSG00000117461,PIK3R3,PF03623-PF00017 ; PF07714-PF00017,-
44,ENSG00000169398,PTK2,ENSG00000198574,SH2D1B,PF03623-PF00017 ; PF07714-PF00017,-
45,ENSG00000169398,PTK2,ENSG00000198400,NTRK1,PF18038-PF07714 ; PF00373-PF07714 ; PF07714-PF07714,-
46,ENSG00000169398,PTK2,ENSG00000010810,FYN,PF18038-PF07714 ; PF00373-PF07714 ; PF03623-PF00017 ; PF07714-PF00017 ; PF07714-PF07714 ; PF07714-PF00018,-
47,ENSG00000169398,PTK2,ENSG00000169398,PTK2,PF18038-PF00373 ; PF18038-PF07714 ; PF00373-PF18038 ; PF00373-PF00373 ; PF00373-PF07714 ; PF03623-PF03623 ; PF07714-PF18038 ; PF07714-PF00373 ; PF07714-PF07714,-
48,ENSG00000169398,PTK2,ENSG00000167193,CRK,PF03623-PF00017 ; PF07714-PF00018 ; PF07714-PF00017,-
49,ENSG00000169398,PTK2,ENSG00000089159,PXN,PF03623-PF03535,-
50,ENSG00000169398,PTK2,ENSG00000082701,GSK3B,PF07714-PF00069,-
51,ENSG00000169398,PTK2,ENSG00000150760,DOCK1,PF07714-PF14604,-
52,ENSG00000169398,PTK2,ENSG00000147010,SH3KBP1,PF07714-PF14604,-
53,ENSG00000169398,PTK2,ENSG00000107643,MAPK8,PF07714-PF00069,-
54,ENSG00000169398,PTK2,ENSG00000106976,DNM1,PF07714-PF00169,-
55,ENSG00000169398,PTK2,ENSG00000120833,SOCS2,PF03623-PF00017 ; PF07714-PF00017,-
56,ENSG00000169398,PTK2,ENSG00000027869,SH2D2A,PF03623-PF00017 ; PF07714-PF00017,-
57,ENSG00000169398,PTK2,ENSG00000140682,TGFB1I1,PF03623-PF03535,-
58,ENSG00000169398,PTK2,ENSG00000136238,RAC1,PF00373-PF00071 ; PF07714-PF00071,-
59,ENSG00000169398,PTK2,ENSG00000177106,EPS8L2,PF07714-PF00018,-
60,ENSG00000169398,PTK2,ENSG00000185532,PRKG1,-,PF07714-PF00069
61,ENSG00000169398,PTK2,ENSG00000142208,AKT1,PF07714-PF00169 ; PF07714-PF00069,-
62,ENSG00000169398,PTK2,ENSG00000078053,AMPH,PF07714-PF14604,-
63,ENSG00000169398,PTK2,ENSG00000145819,ARHGAP26,PF07714-PF14604,PF07714-PF00169
64,ENSG00000169398,PTK2,ENSG00000142627,EPHA2,PF18038-PF07714 ; PF00373-PF07714 ; PF07714-PF14575 ; PF07714-PF07714,-
65,ENSG00000169398,PTK2,ENSG00000105559,PLEKHA4,PF07714-PF00169,-
66,ENSG00000169398,PTK2,ENSG00000096063,SRPK1,PF07714-PF00069,-
67,ENSG00000169398,PTK2,ENSG00000079805,DNM2,PF07714-PF00169,-
68,ENSG00000169398,PTK2,ENSG00000120156,TEK,PF18038-PF07714 ; PF00373-PF07714 ; PF07714-PF07714,-
69,ENSG00000169398,PTK2,ENSG00000168610,STAT3,PF03623-PF00017 ; PF07714-PF00017,-
70,ENSG00000169398,PTK2,ENSG00000176105,YES1,PF18038-PF07714 ; PF00373-PF07714 ; PF03623-PF00017 ; PF07714-PF00017 ; PF07714-PF00018 ; PF07714-PF07714,-
71,ENSG00000169398,PTK2,ENSG00000136205,TNS3,-,PF03623-PF00017 ; PF07714-PF00017
72,ENSG00000169398,PTK2,ENSG00000136717,BIN1,PF07714-PF14604,-
73,ENSG00000169398,PTK2,ENSG00000165731,RET,PF18038-PF07714 ; PF00373-PF07714 ; PF07714-PF07714,-
74,ENSG00000169398,PTK2,ENSG00000153317,ASAP1,PF07714-PF00018 ; PF07714-PF00169,-
75,ENSG00000169398,PTK2,ENSG00000103653,CSK,PF18038-PF07714 ; PF00373-PF07714 ; PF03623-PF00017 ; PF07714-PF00017 ; PF07714-PF00018 ; PF07714-PF07714,-
76,ENSG00000169398,PTK2,ENSG00000141736,ERBB2,PF18038-PF07714 ; PF00373-PF07714 ; PF07714-PF00757 ; PF07714-PF07714,-
77,ENSG00000169398,PTK2,ENSG00000071051,NCK2,PF03623-PF00017 ; PF07714-PF00017 ; PF07714-PF00018 ; PF07714-PF14604,-
78,ENSG00000169398,PTK2,ENSG00000125170,DOK4,PF00373-PF02174 ; PF07714-PF00169,-
79,ENSG00000169398,PTK2,ENSG00000067141,NEO1,PF03623-PF06583,-
80,ENSG00000169398,PTK2,ENSG00000092820,EZR,PF18038-PF00373 ; PF00373-PF09379 ; PF00373-PF00373 ; PF00373-PF09380 ; PF00373-PF00769 ; PF07714-PF00373,-
81,ENSG00000169398,PTK2,ENSG00000023892,DEF6,PF07714-PF00169,-
82,ENSG00000169398,PTK2,ENSG00000050820,BCAR1,PF07714-PF00018,-
83,ENSG00000169398,PTK2,ENSG00000124181,PLCG1,PF03623-PF00017 ; PF07714-PF00018 ; PF07714-PF00017,-
84,ENSG00000169398,PTK2,ENSG00000140575,IQGAP1,PF07714-PF00307,-
85,ENSG00000169398,PTK2,ENSG00000183918,SH2D1A,PF03623-PF00017 ; PF07714-PF00017,-
86,ENSG00000169398,PTK2,ENSG00000185338,SOCS1,PF03623-PF00017 ; PF07714-PF00017,-
87,ENSG00000169398,PTK2,ENSG00000115415,STAT1,PF03623-PF00017 ; PF07714-PF00017,-
88,ENSG00000169398,PTK2,ENSG00000160691,SHC1,PF03623-PF00017 ; PF07714-PF00017,-
89,ENSG00000169398,PTK2,ENSG00000145675,PIK3R1,PF03623-PF00017 ; PF07714-PF00017,-
90,ENSG00000169398,PTK2,ENSG00000158092,NCK1,PF03623-PF00017 ; PF07714-PF00018 ; PF07714-PF14604 ; PF07714-PF00017,-
91,ENSG00000169398,PTK2,ENSG00000101336,HCK,PF18038-PF07714 ; PF00373-PF07714 ; PF03623-PF00017 ; PF07714-PF00017 ; PF07714-PF07714 ; PF07714-PF00018,-
92,ENSG00000169398,PTK2,ENSG00000085733,CTTN,PF07714-PF14604,PF07714-PF00018
93,ENSG00000169398,PTK2,ENSG00000111859,NEDD9,PF07714-PF14604,PF07714-PF00018
94,ENSG00000169398,PTK2,ENSG00000111679,PTPN6,PF00373-PF00102 ; PF03623-PF00017 ; PF07714-PF00017 ; PF07714-PF00102,-
95,ENSG00000169398,PTK2,ENSG00000187323,DCC,PF03623-PF06583,-
96,ENSG00000169398,PTK2,ENSG00000177885,GRB2,PF03623-PF00017 ; PF07714-PF00018 ; PF07714-PF00017,-
97,ENSG00000169398,PTK2,ENSG00000186575,NF2,PF18038-PF00373 ; PF00373-PF09379 ; PF00373-PF00373 ; PF00373-PF00769 ; PF00373-PF09380 ; PF07714-PF00373,-
98,ENSG00000169398,PTK2,ENSG00000197122,SRC,PF18038-PF07714 ; PF00373-PF07714 ; PF03623-PF00017 ; PF07714-PF07714 ; PF07714-PF00018 ; PF07714-PF00017,-
99,ENSG00000169398,PTK2,ENSG00000000938,FGR,PF18038-PF07714 ; PF00373-PF07714 ; PF03623-PF00017 ; PF07714-PF00018 ; PF07714-PF00017 ; PF07714-PF07714,-
100,ENSG00000095059,DHPS,ENSG00000095059,DHPS,PF01916-PF01916,-
101,ENSG00000157456,CCNB2,ENSG00000173207,CKS1B,PF02984-PF01111 ; PF00134-PF01111,-
102,ENSG00000157456,CCNB2,ENSG00000134058,CDK7,PF02984-PF00069 ; PF00134-PF00069,-
103,ENSG00000157456,CCNB2,ENSG00000143889,HNRNPLL,PF00134-PF00076,-
104,ENSG00000157456,CCNB2,ENSG00000099622,CIRBP,PF00134-PF00076,-
105,ENSG00000157456,CCNB2,ENSG00000123975,CKS2,PF02984-PF01111 ; PF00134-PF01111,-
106,ENSG00000157456,CCNB2,ENSG00000156304,SCAF4,PF00134-PF00076,-
107,ENSG00000157456,CCNB2,ENSG00000124762,CDKN1A,PF00134-PF02234,-
108,ENSG00000157456,CCNB2,ENSG00000127564,PKMYT1,PF02984-PF00069 ; PF00134-PF00069,-
109,ENSG00000157456,CCNB2,ENSG00000170312,CDK1,PF02984-PF00069 ; PF00134-PF00069,-
110,ENSG00000157456,CCNB2,ENSG00000134057,CCNB1,PF02984-PF02984 ; PF02984-PF00134 ; PF00134-PF02984 ; PF00134-PF00134,-
111,ENSG00000184677,ZBTB40,ENSG00000124444,ZNF576,PF00651-PF00096 ; PF12874-PF00096 ; PF00096-PF00096,-
112,ENSG00000092094,OSGEP,ENSG00000196976,LAGE3,PF00814-PF09341,-
113,ENSG00000092094,OSGEP,ENSG00000092094,OSGEP,PF00814-PF00814,-
114,ENSG00000240972,MIF,ENSG00000240972,MIF,PF01187-PF01187,-
115,ENSG00000149636,DSN1,ENSG00000117697,NSL1,PF08202-PF08641,-
116,ENSG00000149636,DSN1,ENSG00000167842,MIS12,PF08202-PF05859,-
117,ENSG00000149636,DSN1,ENSG00000160783,PMF1,PF08202-PF03980,-
118,ENSG00000149636,DSN1,ENSG00000260238,PMF1-BGLAP,PF08202-PF03980,-
119,ENSG00000094631,HDAC6,ENSG00000154229,PRKCA,PF00850-PF00069,-
120,ENSG00000094631,HDAC6,ENSG00000122386,ZNF205,PF00850-PF00096,-
121,ENSG00000094631,HDAC6,ENSG00000067606,PRKCZ,PF00850-PF00069,-
122,ENSG00000094631,HDAC6,ENSG00000082701,GSK3B,PF00850-PF00069,-
123,ENSG00000094631,HDAC6,ENSG00000141076,UTP4,PF00850-PF00400,-
124,ENSG00000094631,HDAC6,ENSG00000094631,HDAC6,PF00850-PF00850 ; PF02148-PF02148,-
125,ENSG00000094631,HDAC6,ENSG00000109906,ZBTB16,PF00850-PF00096,-
126,ENSG00000094631,HDAC6,ENSG00000117399,CDC20,PF00850-PF00400,-
127,ENSG00000094631,HDAC6,ENSG00000099995,SF3A1,-,PF02148-PF00240
128,ENSG00000094631,HDAC6,ENSG00000167658,EEF2,PF02148-PF14492,-
129,ENSG00000094631,HDAC6,ENSG00000137055,PLAA,PF00850-PF00400,-
130,ENSG00000094631,HDAC6,ENSG00000126012,KDM5C,PF00850-PF00628,-
131,ENSG00000094631,HDAC6,ENSG00000119318,RAD23B,PF02148-PF00240,-
132,ENSG00000094631,HDAC6,ENSG00000108883,EFTUD2,PF02148-PF14492,-
133,ENSG00000094631,HDAC6,ENSG00000164338,UTP15,PF00850-PF00400,-
134,ENSG00000094631,HDAC6,ENSG00000133884,DPF2,PF00850-PF00628,-
135,ENSG00000094631,HDAC6,ENSG00000087586,AURKA,PF00850-PF00069,-
136,ENSG00000094631,HDAC6,ENSG00000136098,NEK3,PF00850-PF00069,-
137,ENSG00000094631,HDAC6,ENSG00000082516,GEMIN5,PF00850-PF00400,-
138,ENSG00000094631,HDAC6,ENSG00000100030,MAPK1,PF00850-PF00069,-
139,ENSG00000094631,HDAC6,ENSG00000163517,HDAC11,PF00850-PF00850,-
140,ENSG00000094631,HDAC6,ENSG00000069399,BCL3,-,PF00850-PF00023
141,ENSG00000094631,HDAC6,ENSG00000177169,ULK1,PF00850-PF00069,-
142,ENSG00000094631,HDAC6,ENSG00000170312,CDK1,PF00850-PF00069,-
143,ENSG00000094631,HDAC6,ENSG00000138629,UBL7,PF02148-PF00240,-
144,ENSG00000094631,HDAC6,ENSG00000070770,CSNK2A2,PF00850-PF00069,-
145,ENSG00000094631,HDAC6,ENSG00000160447,PKN3,PF00850-PF00069,-
146,ENSG00000094631,HDAC6,ENSG00000198873,GRK5,PF00850-PF00069,-
147,ENSG00000094631,HDAC6,ENSG00000142208,AKT1,PF00850-PF00069,-
148,ENSG00000094631,HDAC6,ENSG00000102882,MAPK3,PF00850-PF00069,-
149,ENSG00000094631,HDAC6,ENSG00000101109,STK4,PF00850-PF00069,-
150,ENSG00000094631,HDAC6,ENSG00000048052,HDAC9,PF00850-PF00850,-
151,ENSG00000094631,HDAC6,ENSG00000187608,ISG15,PF02148-PF00240,-
152,ENSG00000094631,HDAC6,ENSG00000127152,BCL11B,PF00850-PF00096,-
153,ENSG00000094631,HDAC6,ENSG00000185345,PRKN,PF02148-PF00240,-
154,ENSG00000094631,HDAC6,ENSG00000150991,UBC,PF02148-PF00240,-
155,ENSG00000094631,HDAC6,ENSG00000188906,LRRK2,PF00850-PF00069,-
156,ENSG00000066032,CTNNA2,ENSG00000145907,G3BP1,PF01044-PF00076,-
157,ENSG00000145623,OSMR,ENSG00000134352,IL6ST,PF00041-PF00041 ; PF00041-PF09240,-
158,ENSG00000145623,OSMR,ENSG00000141736,ERBB2,PF00041-PF01030 ; PF00041-PF00757,-
159,ENSG00000100154,TTC28,ENSG00000174775,HRAS,PF13181-PF00071,-
160,ENSG00000113575,PPP2CA,ENSG00000149269,PAK1,PF00149-PF00069,-
161,ENSG00000113575,PPP2CA,ENSG00000073711,PPP2R3A,PF00149-PF13499,-
162,ENSG00000113575,PPP2CA,ENSG00000082701,GSK3B,PF00149-PF00069,-
163,ENSG00000113575,PPP2CA,ENSG00000174720,LARP7,PF00149-PF00076,-
164,ENSG00000113575,PPP2CA,ENSG00000173692,PSMD1,PF00149-PF13646,-
165,ENSG00000113575,PPP2CA,ENSG00000198286,CARD11,PF00149-PF00595,-
166,ENSG00000113575,PPP2CA,ENSG00000105568,PPP2R1A,PF00149-PF13646 ; PF00149-PF02985,-
167,ENSG00000113575,PPP2CA,ENSG00000142611,PRDM16,PF00149-PF00096,-
168,ENSG00000113575,PPP2CA,ENSG00000183765,CHEK2,PF00149-PF00069,-
169,ENSG00000113575,PPP2CA,ENSG00000067606,PRKCZ,PF00149-PF00069,-
170,ENSG00000113575,PPP2CA,ENSG00000105221,AKT2,PF00149-PF00069,-
171,ENSG00000113575,PPP2CA,ENSG00000156261,CCT8,PF00149-PF00118,-
172,ENSG00000113575,PPP2CA,ENSG00000004897,CDC27,PF00149-PF00515,-
173,ENSG00000113575,PPP2CA,ENSG00000135624,CCT7,PF00149-PF00118,-
174,ENSG00000113575,PPP2CA,ENSG00000197162,ZNF785,PF00149-PF00096,-
175,ENSG00000113575,PPP2CA,ENSG00000102572,STK24,PF00149-PF00069,-
176,ENSG00000113575,PPP2CA,ENSG00000205629,LCMT1,PF00149-PF04072,-
177,ENSG00000113575,PPP2CA,ENSG00000112640,PPP2R5D,PF00149-PF01603,-
178,ENSG00000113575,PPP2CA,ENSG00000134072,CAMK1,PF00149-PF00069,-
179,ENSG00000113575,PPP2CA,ENSG00000089289,IGBP1,PF00149-PF04177,-
180,ENSG00000113575,PPP2CA,ENSG00000115694,STK25,PF00149-PF00069,-
181,ENSG00000113575,PPP2CA,ENSG00000178999,AURKB,PF00149-PF00069,-
182,ENSG00000113575,PPP2CA,ENSG00000150753,CCT5,PF00149-PF00118,-
183,ENSG00000113575,PPP2CA,ENSG00000213341,CHUK,PF00149-PF00069,-
184,ENSG00000113575,PPP2CA,ENSG00000160447,PKN3,PF00149-PF00069,-
185,ENSG00000113575,PPP2CA,ENSG00000117399,CDC20,PF00149-PF00400,-
186,ENSG00000113575,PPP2CA,ENSG00000134602,STK26,PF00149-PF00069,-
187,ENSG00000113575,PPP2CA,ENSG00000167393,PPP2R3B,PF00149-PF13499,-
188,ENSG00000113575,PPP2CA,ENSG00000137713,PPP2R1B,PF00149-PF02985 ; PF00149-PF13646,-
189,ENSG00000113575,PPP2CA,ENSG00000251369,ZNF550,PF00149-PF00096,-
190,ENSG00000113575,PPP2CA,ENSG00000166226,CCT2,PF00149-PF00118,-
191,ENSG00000113575,PPP2CA,ENSG00000196730,DAPK1,PF00149-PF00069,-
192,ENSG00000113575,PPP2CA,ENSG00000163468,CCT3,PF00149-PF00118,-
193,ENSG00000113575,PPP2CA,ENSG00000143207,COP1,PF00149-PF00400,-
194,ENSG00000113575,PPP2CA,ENSG00000119383,PTPA,PF00149-PF03095,-
195,ENSG00000113575,PPP2CA,ENSG00000132356,PRKAA1,PF00149-PF00069,-
196,ENSG00000113575,PPP2CA,ENSG00000130844,ZNF331,PF00149-PF00096,-
197,ENSG00000113575,PPP2CA,ENSG00000104695,PPP2CB,PF00149-PF00149,-
198,ENSG00000113575,PPP2CA,ENSG00000163932,PRKCD,PF00149-PF00069,-
199,ENSG00000113575,PPP2CA,ENSG00000197363,ZNF517,-,PF00149-PF00096
200,ENSG00000113575,PPP2CA,ENSG00000090372,STRN4,PF00149-PF00400,-
201,ENSG00000113575,PPP2CA,ENSG00000118515,SGK1,PF00149-PF00069,-
202,ENSG00000113575,PPP2CA,ENSG00000140395,WDR61,PF00149-PF00400,-
203,ENSG00000113575,PPP2CA,ENSG00000138385,SSB,PF00149-PF00076,-
204,ENSG00000113575,PPP2CA,ENSG00000113712,CSNK1A1,PF00149-PF00069,-
205,ENSG00000113575,PPP2CA,ENSG00000066926,FECH,PF00149-PF00762,-
206,ENSG00000113575,PPP2CA,ENSG00000169045,HNRNPH1,PF00149-PF00076,-
207,ENSG00000113575,PPP2CA,ENSG00000078304,PPP2R5C,PF00149-PF01603,-
208,ENSG00000113575,PPP2CA,ENSG00000117020,AKT3,PF00149-PF00069,-
209,ENSG00000113575,PPP2CA,ENSG00000142208,AKT1,PF00149-PF00069,-
210,ENSG00000113575,PPP2CA,ENSG00000108424,KPNB1,-,PF00149-PF02985
211,ENSG00000113575,PPP2CA,ENSG00000072201,LNX1,PF00149-PF00595,-
212,ENSG00000113575,PPP2CA,ENSG00000204628,RACK1,PF00149-PF00400,-
213,ENSG00000113575,PPP2CA,ENSG00000184216,IRAK1,PF00149-PF00069,-
214,ENSG00000113575,PPP2CA,ENSG00000214517,PPME1,PF00149-PF12697,-
215,ENSG00000113575,PPP2CA,ENSG00000196792,STRN3,PF00149-PF00400,-
216,ENSG00000113575,PPP2CA,ENSG00000146731,CCT6A,PF00149-PF00118,-
217,ENSG00000113575,PPP2CA,ENSG00000149923,PPP4C,PF00149-PF00149,-
218,ENSG00000113575,PPP2CA,ENSG00000143155,TIPRL,PF00149-PF04176,-
219,ENSG00000113575,PPP2CA,ENSG00000137193,PIM1,PF00149-PF00069,-
220,ENSG00000113575,PPP2CA,ENSG00000104365,IKBKB,PF00149-PF00069,-
221,ENSG00000113575,PPP2CA,ENSG00000175634,RPS6KB2,-,PF00149-PF00069
222,ENSG00000113575,PPP2CA,ENSG00000070756,PABPC1,PF00149-PF00076,-
223,ENSG00000113575,PPP2CA,ENSG00000169951,ZNF764,PF00149-PF00096,-
224,ENSG00000113575,PPP2CA,ENSG00000085276,MECOM,PF00149-PF00096,-
225,ENSG00000113575,PPP2CA,ENSG00000198752,CDC42BPB,PF00149-PF00069,-
226,ENSG00000113575,PPP2CA,ENSG00000154845,PPP4R1,PF00149-PF02985,-
227,ENSG00000113575,PPP2CA,ENSG00000171940,ZNF217,-,PF00149-PF00096
228,ENSG00000113575,PPP2CA,ENSG00000170145,SIK2,PF00149-PF00069,-
229,ENSG00000113575,PPP2CA,ENSG00000120438,TCP1,PF00149-PF00118,-
230,ENSG00000113575,PPP2CA,ENSG00000105810,CDK6,PF00149-PF00069,-
231,ENSG00000113575,PPP2CA,ENSG00000156299,TIAM1,PF00149-PF00595,-
232,ENSG00000113575,PPP2CA,ENSG00000102882,MAPK3,PF00149-PF00069,-
233,ENSG00000113575,PPP2CA,ENSG00000178150,ZNF114,-,PF00149-PF00096
234,ENSG00000113575,PPP2CA,ENSG00000135541,AHI1,PF00149-PF00400,-
235,ENSG00000113575,PPP2CA,ENSG00000154001,PPP2R5E,PF00149-PF01603,-
236,ENSG00000113575,PPP2CA,ENSG00000115484,CCT4,PF00149-PF00118,-
237,ENSG00000090539,CHRD,ENSG00000264343,NOTCH2NLA,PF00093-PF00008,-
238,ENSG00000158859,ADAMTS4,ENSG00000087116,ADAMTS2,PF00090-PF01421 ; PF00090-PF00090 ; PF00090-PF17771 ; PF01421-PF01421 ; PF01421-PF00090 ; PF01421-PF17771 ; PF17771-PF01421 ; PF17771-PF00090 ; PF17771-PF17771,-
239,ENSG00000158859,ADAMTS4,ENSG00000138759,FRAS1,PF00090-PF00093,-
240,ENSG00000109686,SH3D19,ENSG00000070831,CDC42,PF00018-PF00071,-
241,ENSG00000109686,SH3D19,ENSG00000035115,SH3YL1,PF00018-PF04366 ; PF00018-PF00018 ; PF07653-PF00018,-
242,ENSG00000109686,SH3D19,ENSG00000144061,NPHP1,PF00018-PF00018 ; PF07653-PF00018,-
243,ENSG00000109686,SH3D19,ENSG00000177885,GRB2,PF00018-PF00018 ; PF00018-PF00017 ; PF07653-PF00018 ; PF07653-PF00017,-
244,ENSG00000109686,SH3D19,ENSG00000147010,SH3KBP1,PF14604-PF14604,-
245,ENSG00000084774,CAD,ENSG00000215301,DDX3X,PF02786-PF00271,-
246,ENSG00000084774,CAD,ENSG00000160957,RECQL4,PF02786-PF00271,-
247,ENSG00000084774,CAD,ENSG00000198563,DDX39B,PF02786-PF00271,-
248,ENSG00000084774,CAD,ENSG00000173599,PC,PF02786-PF00364 ; PF02786-PF00682 ; PF02786-PF00289 ; PF02786-PF02785 ; PF02786-PF02786 ; PF02142-PF00289 ; PF02142-PF02786 ; PF00117-PF00289 ; PF00117-PF02786 ; PF00988-PF00289 ; PF00988-PF02786 ; PF02787-PF00289 ; PF02787-PF02786,-
249,ENSG00000084774,CAD,ENSG00000127616,SMARCA4,PF02786-PF00271,-
250,ENSG00000111667,USP5,ENSG00000198373,WWP2,PF00627-PF00632,-
251,ENSG00000111667,USP5,ENSG00000198742,SMURF1,PF00627-PF00632,-
252,ENSG00000111667,USP5,ENSG00000058056,USP13,PF00443-PF00443 ; PF17807-PF00443,PF00443-PF17807 ; PF02148-PF02148 ; PF00627-PF00627
253,ENSG00000111667,USP5,ENSG00000148634,HERC4,PF00627-PF00632,-
254,ENSG00000111667,USP5,ENSG00000099804,CDC34,PF00627-PF00179,-
255,ENSG00000111667,USP5,ENSG00000019549,SNAI2,PF00443-PF00096 ; PF00627-PF00096,-
256,ENSG00000111667,USP5,ENSG00000145907,G3BP1,PF00627-PF00076,-
257,ENSG00000111667,USP5,ENSG00000168078,PBK,PF00443-PF00069 ; PF00627-PF00069,-
258,ENSG00000111667,USP5,ENSG00000130413,STK33,PF00443-PF00069 ; PF00627-PF00069,-
259,ENSG00000111667,USP5,ENSG00000078747,ITCH,PF00627-PF00632,-
260,ENSG00000111667,USP5,ENSG00000048028,USP28,PF00443-PF00443 ; PF17807-PF00443,-
261,ENSG00000111667,USP5,ENSG00000118939,UCHL3,PF00443-PF01088,-
262,ENSG00000111667,USP5,ENSG00000186591,UBE2H,PF00627-PF00179,-
263,ENSG00000111667,USP5,ENSG00000119318,RAD23B,PF00443-PF00240 ; PF02148-PF00240 ; PF00627-PF00240 ; PF00627-PF00627 ; PF00627-PF09280,-
264,ENSG00000111667,USP5,ENSG00000179262,RAD23A,PF00443-PF00240 ; PF02148-PF00240 ; PF00627-PF00627 ; PF00627-PF00240 ; PF00627-PF09280,-
265,ENSG00000111667,USP5,ENSG00000091164,TXNL1,PF00627-PF00085,-
266,ENSG00000111667,USP5,ENSG00000108883,EFTUD2,PF02148-PF14492,-
267,ENSG00000111667,USP5,ENSG00000070756,PABPC1,PF00627-PF00076,-
268,ENSG00000111667,USP5,ENSG00000100567,PSMA3,PF00443-PF00227,-
269,ENSG00000111667,USP5,ENSG00000108106,UBE2S,PF00627-PF00179,-
270,ENSG00000111667,USP5,ENSG00000185624,P4HB,-,PF00627-PF00085
271,ENSG00000111667,USP5,ENSG00000150991,UBC,PF00443-PF00240 ; PF02148-PF00240 ; PF00627-PF00240,-
272,ENSG00000157933,SKI,ENSG00000141646,SMAD4,PF08782-PF03166,-
273,ENSG00000157933,SKI,ENSG00000113658,SMAD5,PF08782-PF03166,-
274,ENSG00000157933,SKI,ENSG00000166949,SMAD3,-,PF08782-PF03166
275,ENSG00000157933,SKI,ENSG00000175387,SMAD2,PF08782-PF03166,-
